ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11229652,JB146448,1/1/2008 0:01,018XX N KEELER AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,FALSE,2534,25,30,20,2,,,2008,2/14/2018 15:52,,,
10426681,HZ164426,1/1/2009 0:00,051XX S HONORE ST,266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,TRUE,TRUE,932,9,16,61,2,,,2009,3/27/2019 16:03,,,
11032940,JA365596,7/10/2009 9:00,038XX W HURON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,1122,11,27,23,11,,,2009,7/28/2017 15:47,,,
11033011,JA365922,1/1/2010 12:00,053XX S HARPER AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,FALSE,FALSE,234,2,4,41,11,,,2010,7/28/2017 15:47,,,
11027485,JA358748,11/15/2007 0:00,115XX S WENTWORTH AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,522,5,34,53,11,,,2007,7/29/2017 15:56,,,
5253983,HM665450,10/17/2006 13:05,052XX W HURON ST,2017,NARCOTICS,MANU/DELIVER:CRACK,STREET,TRUE,FALSE,1524,15,28,25,18,,,2006,8/17/2015 15:03,,,
11047604,JA382838,1/1/2009 0:00,029XX S STATE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,133,1,3,35,11,,,2009,8/9/2017 15:51,,,
5741943,HN549294,8/25/2007 9:22,074XX N ROGERS AVE,560,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,2422,24,49,1,08A,,,2007,8/17/2015 15:03,,,
11032713,JA365235,9/10/2006 17:00,037XX W 55TH PL,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,FALSE,FALSE,822,8,23,62,2,,,2006,7/29/2017 15:56,,,
6100076,HP196422,2/26/2008 0:00,075XX N OAKLEY AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2411,24,49,2,7,,,2008,8/17/2015 15:03,,,
11050095,JA385802,3/2/2009 12:00,092XX S SAGINAW AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,423,4,7,48,11,,,2009,8/11/2017 15:53,,,
6329138,HP422605,6/28/2008 23:00,048XX N BROADWAY,810,THEFT,OVER $500,STREET,FALSE,FALSE,2033,20,48,3,6,,,2008,8/17/2015 15:03,,,
6400477,HP485201,7/31/2008 4:30,078XX S UNION AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,621,6,17,71,04B,,,2008,8/17/2015 15:03,,,
6421103,HP505515,8/8/2008 23:00,065XX N NASHVILLE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1611,16,41,10,14,,,2008,8/17/2015 15:03,,,
6534949,HP599238,9/23/2008 6:30,039XX S ROCKWELL ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,912,9,12,58,6,,,2008,8/17/2015 15:03,,,
6760140,HM197365,2/23/2006 19:06,010XX W 105TH ST,2027,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,2232,22,34,73,18,,,2006,8/17/2015 15:03,,,
11635560,JC200396,3/26/2010 14:00,012XX N KARLOV AVE,265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,FALSE,FALSE,2534,25,37,23,2,,,2010,3/27/2019 16:10,,,
11232463,JB154315,12/1/2009 12:00,060XX S MENARD AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,FALSE,812,8,13,64,2,,,2009,2/17/2018 15:55,,,
7153921,HR562323,9/29/2009 12:00,013XX N CLARK ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1824,18,42,8,6,,,2009,8/17/2015 15:03,,,
7265169,HR679482,12/8/2009 10:45,039XX S WELLS ST,2027,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,925,9,3,37,18,,,2009,8/17/2015 15:03,,,
7171329,HR581713,10/10/2009 21:50,024XX W NORTH SHORE AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,2412,24,50,2,6,,,2009,8/17/2015 15:03,,,
11227516,JB138570,3/7/2006 0:00,024XX S HAMLIN AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,FALSE,FALSE,1013,10,22,30,17,,,2006,2/17/2018 15:55,,,
11037459,JA371175,1/1/2008 9:00,026XX W ARMITAGE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,1431,14,1,22,11,,,2008,8/1/2017 15:52,,,
11038365,JA372577,6/17/2009 9:00,007XX W 118TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,524,5,34,53,11,,,2009,8/2/2017 15:54,,,
11039140,JA371686,1/1/2010 0:00,055XX W FARRAGUT AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,FALSE,FALSE,1623,16,45,11,2,,,2010,8/2/2017 15:54,,,
11238704,JB162786,5/1/2010 0:00,033XX W 63RD PL,265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,FALSE,FALSE,823,8,23,66,2,,,2010,1/23/2019 11:23,,,
11234161,JB156598,1/11/2010 18:20,057XX S BISHOP ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,713,7,16,67,11,,,2010,2/19/2018 15:55,,,
11237310,JB160971,2/22/2006 12:00,063XX S TALMAN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,825,8,16,66,11,,,2006,10/27/2018 16:00,,,
11238698,JB162477,2/9/2009 8:00,014XX W BIRCHWOOD AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,2422,24,49,1,11,,,2009,2/24/2018 15:54,,,
11239233,JB163510,1/1/2010 0:01,071XX S LANGLEY AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,OTHER,FALSE,FALSE,323,3,6,69,11,,,2010,2/24/2018 15:54,,,
11238580,JB160576,1/1/2006 0:01,023XX N AVERS AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,FALSE,2525,25,35,22,17,,,2006,2/16/2019 15:59,,,
11241604,JB166043,7/1/2010 8:00,042XX S VINCENNES AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,214,2,3,38,11,,,2010,2/27/2018 15:59,,,
11241041,JB165878,1/1/2009 0:01,016XX N KILDARE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,2534,25,30,23,11,,,2009,2/27/2018 15:59,,,
11245169,JB171212,10/2/2008 9:00,018XX S ST LOUIS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,1021,10,24,29,11,,,2008,3/3/2018 15:54,,,
5788875,HN599701,1/1/2007 0:00,024XX S SAWYER AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,FALSE,TRUE,1024,10,22,30,17,,,2007,3/3/2018 15:54,,,
11240621,JB122444,3/26/2006 0:01,081XX S DREXEL AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,TRUE,631,6,8,44,2,,,2006,3/3/2018 15:54,,,
10904893,JA216873,2/1/2010 0:00,058XX W WASHINGTON BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,1512,15,29,25,11,,,2010,4/8/2017 15:49,,,
10905016,JA217064,4/28/2010 12:00,015XX E 53RD ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,234,2,4,41,11,,,2010,4/8/2017 15:49,,,
10907432,JA220122,3/31/2010 9:00,061XX N WINTHROP AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,2433,24,48,77,11,,,2010,4/11/2017 15:57,,,
10915113,JA228007,2/17/2010 11:15,055XX S CORNELL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,235,2,5,41,11,,,2010,4/18/2017 15:59,,,
10928417,JA243106,1/10/2010 9:00,033XX W 25TH ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE,FALSE,1024,10,22,30,11,,,2010,4/29/2017 15:49,,,
11635434,JC200535,5/1/2006 16:00,039XX N SPAULDING AVE,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,TRUE,1733,17,33,16,2,,,2006,3/30/2019 16:05,,,
10935863,JA252246,4/5/2010 19:15,113XX S LOWE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,2233,22,34,49,11,,,2010,5/6/2017 15:51,,,
11634550,JC199497,6/20/2007 20:00,057XX S PRAIRIE AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,ABANDONED BUILDING,FALSE,FALSE,232,2,20,40,17,,,2007,3/30/2019 16:05,,,
10111611,HX505212,6/17/2008 0:01,016XX W JONQUIL TER,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,FALSE,2422,24,49,1,20,,,2008,8/17/2015 15:03,,,
11640668,JC206582,10/1/2008 14:40,079XX S ALBANY AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,835,8,18,70,11,,,2008,4/1/2019 16:21,,,
10669607,HZ406599,3/1/2009 0:00,006XX E 108TH ST,810,THEFT,OVER $500,OTHER,TRUE,FALSE,513,5,9,50,6,,,2009,5/18/2017 15:51,,,
7818024,HS628367,9/28/2010 0:01,054XX N SHERIDAN RD,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,TRUE,FALSE,2023,20,48,77,2,,,2010,9/13/2016 15:53,,,
10603867,HZ355940,1/26/2010 9:00,031XX S LOWE AVE,1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,RESIDENCE,FALSE,FALSE,915,9,11,60,11,,,2010,7/20/2016 15:52,,,
11643636,JC210487,11/1/2009 9:00,046XX S LAKE PARK AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,222,2,4,39,11,,,2009,4/4/2019 16:16,,,
11643815,JC209789,5/1/2010 12:00,079XX S LAFLIN ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,612,6,21,71,11,,,2010,4/4/2019 16:16,,,
11013927,JA343722,11/10/2010 0:00,026XX N MILWAUKEE AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,FALSE,TRUE,1411,14,35,22,20,,,2010,7/12/2017 15:55,,,
10593547,HZ344935,11/11/2009 0:01,021XX N PARKSIDE AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,FALSE,2515,25,29,19,20,,,2009,7/21/2016 15:55,,,
11152631,JA516212,9/18/2010 12:00,048XX N CHRISTIANA AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,FALSE,TRUE,1713,17,39,14,17,,,2010,3/8/2018 15:53,,,
11014093,JA343643,11/5/2008 12:00,079XX S INGLESIDE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,624,6,8,44,11,,,2008,7/12/2017 15:55,,,
10811867,JA111014,11/20/2009 21:00,014XX W NORTH SHORE AVE,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,FALSE,FALSE,2432,24,40,1,2,,,2009,1/11/2017 15:52,,,
11250184,JB177829,1/1/2008 0:01,066XX S MAY ST,265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,FALSE,FALSE,724,7,17,68,2,,,2008,3/8/2018 15:55,,,
11644840,JC211622,4/4/2010 14:30,085XX S Rockwell St,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,835,8,18,70,11,,,2010,4/5/2019 16:07,,,
11643323,JC210033,8/10/2007 9:00,007XX E 111TH ST,266,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,FALSE,FALSE,531,5,9,50,2,,,2007,4/6/2019 16:04,,,
10814019,JA111875,9/23/2008 12:00,017XX E 67TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,332,3,5,43,11,,,2008,1/13/2017 15:54,,,
10814111,JA113460,5/11/2009 12:00,095XX S WOODLAWN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,511,5,8,50,11,,,2009,1/13/2017 15:54,,,
11646447,JC213946,10/24/2008 14:30,036XX N NARRAGANSETT AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,1633,16,36,17,11,,,2008,4/7/2019 16:05,,,
11254950,JB182796,6/1/2009 8:00,051XX W DIVERSEY AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,FALSE,TRUE,2521,25,31,19,2,,,2009,3/14/2018 15:54,,,
10814762,JA114151,1/2/2010 20:10,102XX S MAY ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,2232,22,34,73,11,,,2010,1/13/2017 15:54,,,
10809893,JA109211,12/30/2006 14:00,031XX W ROOSEVELT RD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,1134,11,24,29,11,,,2006,1/14/2017 15:49,,,
11257090,JB179110,1/10/2010 0:00,026XX S TRIPP AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,FALSE,1031,10,22,30,2,,,2010,3/16/2018 15:52,,,
10812424,JA111645,10/29/2007 6:00,053XX S HOYNE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,932,9,16,61,11,,,2007,1/14/2017 15:49,,,
11256191,JB185921,1/1/2007 0:00,055XX S ALBANY AVE,266,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,TRUE,FALSE,824,8,14,63,2,,,2007,5/26/2018 15:46,,,
10632784,HZ385175,7/1/2009 0:01,052XX N CENTRAL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,FALSE,FALSE,1622,16,45,11,11,,,2009,8/10/2016 15:55,,,
11012552,JA342374,7/10/2006 12:00,052XX N LECLAIRE AVE,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,FALSE,FALSE,1623,16,45,11,2,,,2006,7/15/2017 15:51,,,
11012566,JA342398,12/1/2007 0:01,102XX S MICHIGAN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,511,5,9,49,11,,,2007,7/15/2017 15:51,,,
11013712,HZ570581,2/26/2007 0:01,122XX S HARVARD AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,FALSE,523,5,34,53,2,,,2007,7/15/2017 15:51,,,
11017862,JA347671,10/7/2010 14:00,044XX S INDIANA AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,215,2,3,38,6,,,2010,7/15/2017 15:51,,,
10145496,HY334421,1/1/2009 0:00,022XX N KENNETH AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,FALSE,TRUE,2522,25,31,20,20,,,2009,8/17/2015 15:03,,,
11022124,JA352995,5/15/2008 0:01,074XX S SOUTH SHORE DR,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,334,3,7,43,11,,,2008,7/19/2017 15:55,,,
11023553,JA354281,1/1/2010 9:00,113XX S HERMOSA AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,2212,22,19,75,11,,,2010,7/20/2017 15:55,,,
11060984,JA398876,8/20/2010 12:00,003XX W 116TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,522,5,34,53,11,,,2010,8/21/2017 15:52,,,
11024097,JA354950,6/1/2010 0:00,114XX S ST LAWRENCE AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,FALSE,FALSE,531,5,9,50,2,,,2010,7/20/2017 15:55,,,
11024239,JA354351,7/8/2008 7:00,008XX E 53RD ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,233,2,5,41,11,,,2008,7/20/2017 15:55,,,
11024544,JA354367,3/1/2006 12:00,065XX W ADDISON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,1632,16,36,17,11,,,2006,7/29/2017 15:52,,,
11026346,JA357307,5/1/2009 12:00,046XX N KEDZIE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1713,17,33,14,11,,,2009,7/25/2017 15:46,,,
5408114,HN247766,3/25/2007 17:30,046XX W 49TH ST,810,THEFT,OVER $500,OTHER,FALSE,FALSE,815,8,23,56,6,,,2007,8/17/2015 15:03,,,
6267498,HP354708,5/24/2008 19:00,037XX W LEXINGTON ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1133,11,24,27,6,,,2008,8/17/2015 15:03,,,
4690000,HM288623,4/13/2006 14:00,003XX W LAKE ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,111,1,42,,6,,,2006,8/17/2015 15:03,,,
6201445,HP291469,4/20/2008 22:20,069XX S WESTERN AVE,880,THEFT,PURSE-SNATCHING,SIDEWALK,FALSE,FALSE,832,8,17,66,6,,,2008,8/17/2015 15:03,,,
6747373,HR152370,2/3/2009 17:00,092XX S WALLACE ST,2027,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,2223,22,21,73,18,,,2009,8/17/2015 15:03,,,
7227293,HR642621,6/9/2008 14:30,010XX E 87TH ST,890,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,412,4,8,44,6,,,2008,8/17/2015 15:03,,,
7889682,HT106613,9/14/2009 23:00,103XX S DOTY AVE E,820,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,434,4,10,51,6,,,2009,8/17/2015 15:03,,,
7913819,HR574971,10/6/2009 22:12,002XX E 83RD ST,610,BURGLARY,FORCIBLE ENTRY,OTHER,FALSE,FALSE,632,6,6,44,5,,,2009,8/17/2015 15:03,,,
8033558,HT265276,8/1/2008 14:00,002XX E 69TH PL,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,322,3,6,69,6,,,2008,8/17/2015 15:03,,,
8070766,HR559439,9/27/2009 18:20,002XX W 95TH ST,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,634,6,21,49,08B,,,2009,8/17/2015 15:03,,,
11068278,JA407390,8/24/2009 20:00,102XX S PRINCETON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,511,5,9,49,11,,,2009,8/27/2017 15:48,,,
10409118,HZ146117,1/1/2009 0:00,083XX S BUFFALO AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,APARTMENT,FALSE,FALSE,424,4,10,46,17,,,2009,2/10/2016 15:53,,,
10992846,JA319757,11/28/2006 0:00,032XX W FULTON BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,1123,11,28,27,11,,,2006,6/24/2017 15:50,,,
10900579,JA207821,1/1/2009 0:00,001XX W 108TH ST,266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,FALSE,TRUE,513,5,34,49,2,,,2009,4/5/2017 15:53,,,
10903419,JA215191,1/1/2010 8:00,027XX W GEORGE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,1411,14,1,21,11,,,2010,4/7/2017 15:54,,,
10900605,HZ509111,1/1/2010 8:00,057XX S FRANCISCO AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,FALSE,824,8,16,63,20,,,2010,4/17/2017 16:10,,,
10037129,HY206190,1/1/2006 0:00,053XX S MILLARD AVE,266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,FALSE,FALSE,822,8,23,62,2,,,2006,8/31/2015 15:43,,,
10914639,JA228146,3/1/2010 9:00,002XX N MASON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,1512,15,29,25,11,,,2010,4/18/2017 15:59,,,
10916475,JA229606,4/1/2008 22:40,086XX S DORCHESTER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,412,4,8,45,11,,,2008,4/19/2017 15:53,,,
10996175,JA322057,8/23/2010 0:00,068XX S EMERALD AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,FALSE,TRUE,723,7,6,68,2,,,2010,6/27/2017 15:51,,,
10924239,JA237753,4/24/2010 12:00,045XX N WOLCOTT AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,FALSE,FALSE,1912,19,47,4,20,,,2010,4/26/2017 15:52,,,
10924653,JA237789,12/20/2010 10:15,029XX S WABASH AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,133,1,2,35,11,,,2010,4/26/2017 15:52,,,
10926078,JA239155,1/25/2010 10:25,048XX S ST LAWRENCE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,FALSE,FALSE,223,2,4,38,11,,,2010,4/27/2017 15:50,,,
10926686,JA241131,12/10/2008 0:01,037XX W ARTHINGTON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,1133,11,24,29,11,,,2008,4/28/2017 15:58,,,
10997971,JA325099,2/13/2010 8:21,007XX N CENTRAL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,1524,15,37,25,11,,,2010,6/28/2017 15:55,,,
10999199,JA326430,10/30/2010 9:00,0000X E 16TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,131,1,2,33,11,,,2010,6/29/2017 15:52,,,
10930091,JA244915,12/1/2010 10:25,077XX S COTTAGE GROVE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,624,6,6,69,11,,,2010,5/1/2017 15:53,,,
